ARQUITETURA DE COMPUTADORES I, FACOM
BANCO DE DADOS II, FACOM
COMPUTAÇÃO E SOCIEDADE, FACOM
INTERAÇÃO HUMANO-COMPUTADOR, FACOM
SEGURANÇA E AUDITORIA DE SISTEMAS, FACOM
ALGORITMOS PARALELOS, FACOM
COMPILADORES I, FACOM
COMPUTAÇÃO GRÁFICA, FACOM
EMPREENDEDORISMO, ESAN
INTELIGÊNCIA ARTIFICIAL, FACOM
LABORATÓRIO DE HARDWARE, FACOM
SISTEMAS DE APOIO À DECISÃO, FACOM
SISTEMAS DISTRIBUÍDOS, FACOM
ALGORITMOS E PROGRAMAÇÃO II, FACOM
ANÁLISE E PROJETO DE SOFTWARE ORIENTADO A OBJETOS, FACOM
BANCO DE DADOS I, FACOM
CÁLCULO I, INMA
ENGENHARIA DE SOFTWARE, FACOM
ESTRUTURAS DE DADOS E PROGRAMAÇÃO, FACOM
FUNDAMENTOS DE TECNOLOGIA DA INFORMAÇÃO, FACOM
INTRODUÇÃO À FILOSOFIA, FACH
PLANEJAMENTO ESTRATÉGICO, ESAN
PROGRAMAÇÃO PARA A WEB, FACOM
QUALIDADE DE SOFTWARE, FACOM
REDES DE COMPUTADORES, FACOM
SISTEMAS OPERACIONAIS, FACOM
ANÁLISE DE ALGORITMOS, FACOM
COMPORTAMENTO ORGANIZACIONAL, ESAN
COMUNICAÇÃO E TRANSMISSÃO DE DADOS, FACOM
DESAFIOS DE PROGRAMAÇÃO, FACOM
GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO, FACOM
INTRODUÇÃO À ADMINISTRAÇÃO, ESAN
INTRODUÇÃO À ECONOMIA, ESAN
INTRODUÇÃO A SISTEMAS DIGITAIS, FACOM
MATEMÁTICA I, INMA
PROBABILIDADE E ESTATÍSTICA, INMA
REDES SEM FIO, FACOM
TEORIAS ADMINISTRATIVAS, ESAN
TÓPICOS EM BANCOS DE DADOS, FACOM
TÓPICOS EM SISTEMAS DE INFORMAÇÃO I, FACOM
ARQUITETURA DE COMPUTADORES II, FACOM
CÁLCULO II, INMA
IMPLEMENTAÇÃO E EXPERIMENTAÇÃO ALGORÍTMICA, FACOM
INTRODUÇÃO À BIOINFORMÁTICA, FACOM
INTRODUÇÃO À CRIPTOGRAFIA COMPUTACIONAL, FACOM
LINGUAGEM DE MONTAGEM,FACOM
LINGUAGENS FORMAIS E AUTÔMATOS, FACOM
MÉTODOS NUMÉRICOS, FACOM
PROGRAMAÇÃO LINEAR, FACOM
PROGRAMAÇÃO PARA REDES, FACOM
PROJETO E ANÁLISE DE ALGORITMOS I, FACOM
SEGURANÇA DE REDES, FACOM
TEORIA DOS GRAFOS E SEUS ALGORITMOS, FACOM
TÓPICOS EM COMPUTAÇÃO I, FACOM
ADMINISTRAÇÃO PARA COMPUTAÇÃO, ESAN
AGENTES REGULADORES, FACOM
ÁLGEBRA LINEAR, INMA
ALGORITMOS E ESTRUTURA DE DADOS I, FACOM
ALGORITMOS E ESTRUTURA DE DADOS II, FACOM
ALGORITMOS E PROGRAMAÇÃO I, FACOM
ANÁLISE E PROJETO DE APLICAÇÕES WEB, FACOM
ARQUITETURA TCP/IP, FACOM
DESENHO POR COMPUTADOR,FAENG
FERRAMENTA CAD, FAENG
FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO, FACOM
FUNDAMENTOS DE TEORIA DA COMPUTAÇÃO, FACOM
GERÊNCIA DE PROJETOS, FACOM
GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO I, FACOM
INTRODUÇÃO À COMPUTAÇÃO, FACOM
LINGUAGEM DE PROGRAMAÇÃO ORIENTADA A OBJETOS, FACOM
MATEMÁTICA, INMA
PROGRAMAÇÃO DE COMPUTADORES I, FACOM
PROGRAMAÇÃO DE COMPUTADORES II, FACOM
PROGRAMAÇÃO DISTRIBUÍDA, FACOM
TÓPICOS EM SISTEMAS DE INFORMAÇÃO II, FACOM
ECONOMIA, ESAN
METODOLOGIA CIENTÍFICA, FACH
VETORES E GEOMETRIA ANALÍTICA, INMA
ADMINISTRAÇÃO DE SISTEMAS, FACOM
MODELAGEM DE PROCESSOS DE NEGÓCIO, FACOM
TÓPICOS EM REDES DE COMPUTADORES, FACOM
TÓPICOS EM REDES DE COMPUTADORES I, FACOM
ESTRUTURAS DE DADOS E PROGRAMAÇÃO ORIENTADA A OBJETOS, FACOM
INTRODUÇÃO AOS SISTEMAS DIGITAIS, FACOM
ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES I, FACOM
INTRODUÇÃO À PSICOLOGIA, FACH
