Curso,Semestre,Disciplina,Total Alunos,Turno
Sistemas de Informação,2006/1,ALGORITMOS E ESTRUTURA DE DADOS I,4,NOITE
Sistemas de Informação,2007/1,ALGORITMOS E ESTRUTURA DE DADOS II,4,NOITE
Sistemas de Informação,2008/1,ALGORITMOS E ESTRUTURA DE DADOS II,4,NOITE
Sistemas de Informação,2007/1,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,2,NOITE
Sistemas de Informação,2006/1,INTRODUÇÃO À COMPUTAÇÃO,4,NOITE
Sistemas de Informação,2006/1,PROGRAMAÇÃO DE COMPUTADORES I,4,NOITE
Sistemas de Informação,2008/1,PROGRAMAÇÃO DE COMPUTADORES II,3,NOITE
Sistemas de Informação,2009/1,PROGRAMAÇÃO DISTRIBUÍDA,2,NOITE
Sistemas de Informação,2007/1,ALGORITMOS E ESTRUTURA DE DADOS I,3,NOITE
Sistemas de Informação,2008/1,ALGORITMOS E ESTRUTURA DE DADOS I,4,NOITE
Sistemas de Informação,2009/1,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,4,NOITE
Sistemas de Informação,2008/1,INTRODUÇÃO À COMPUTAÇÃO,2,NOITE
Sistemas de Informação,2009/1,INTRODUÇÃO AOS SISTEMAS DIGITAIS,4,
Sistemas de Informação,2009/1,PROBABILIDADE E ESTATÍSTICA,4,
Sistemas de Informação,2008/1,PROGRAMAÇÃO DE COMPUTADORES I,4,NOITE
Sistemas de Informação,2009/1,PROGRAMAÇÃO DE COMPUTADORES II,4,NOITE
Sistemas de Informação,2011/1,MATEMÁTICA FINANCEIRA,1,TARDE
Sistemas de Informação,2014/1,MÉTODOS NUMÉRICOS,2,TARDE
Sistemas de Informação,2009/1,INTRODUÇÃO À COMPUTAÇÃO,4,NOITE
Sistemas de Informação,2012/2,INTRODUÇÃO À CONTABILIDADE,1,TARDE
Sistemas de Informação,2012/2,INTRODUÇÃO À PSICOLOGIA,1,TARDE
Sistemas de Informação,2012/2,PLANEJAMENTO ESTRATÉGICO,1,TARDE
Sistemas de Informação,2012/2,TÓPICO ESPECIAL INTERDISCIPLINAR III,1,TARDE
Sistemas de Informação,2009/1,ALGORITMOS E ESTRUTURA DE DADOS I,2,MANHA
Sistemas de Informação,2009/1,CÁLCULO COM GEOMETRIA ANALÍTICA I,2,MANHA
Sistemas de Informação,2009/1,MATEMÁTICA DISCRETA E ÁLGEBRA,2,MANHA
Sistemas de Informação,2012/2,SISTEMAS DE APOIO À DECISÃO,4,NOITE
Sistemas de Informação,2012/2,COMPORTAMENTO ORGANIZACIONAL,2,MANHA
Sistemas de Informação,2016/1,MÉTODOS NUMÉRICOS,2,TARDE
Sistemas de Informação,2015/1,MÉTODOS NUMÉRICOS,2,TARDE
Sistemas de Informação,2013/2,GERÊNCIA DE REDES,4,NOITE
Sistemas de Informação,2020/1,ESTUDO DE LIBRAS,5,
Sistemas de Informação,2013/2,SISTEMAS PARTIDÁRIOS E SISTEMAS ELEITORAIS,1,MANHA
Sistemas de Informação,2011/2,ASPECTOS DA TIPOLOGIA DE LÍNGUAS NEGRO-AFRICANAS,2,MANHA
Sistemas de Informação,2011/2,EQUAÇÕES DIFERENCIAIS,2,TARDE
Sistemas de Informação,2012/2,FÍSICA II,2,TARDE
Sistemas de Informação,2014/2,SISTEMAS DE INTEGRAÇÃO E AUTOMAÇÃO INDUSTRIAL,2,TARDE
Sistemas de Informação,2014/2,PLANEJAMENTO ESTRATÉGICO,1,NOITE
Sistemas de Informação,2014/1,DESENHO E PLÁSTICA I,1,TARDE
Sistemas de Informação,2013/1,DESENHO TÉCNICO E ARQUITETÔNICO I,1,MANHA
Sistemas de Informação,2013/2,DESENHO TÉCNICO E ARQUITETÔNICO II,1,TARDE
Sistemas de Informação,2013/1,ESTÉTICA E HISTÓRIA DAS ARTES I,1,TARDE
Sistemas de Informação,2013/2,ESTÉTICA E HISTÓRIA DAS ARTES II,1,MANHA
Sistemas de Informação,2014/1,GEOMETRIA DESCRITIVA,4,TARDE
Sistemas de Informação,2013/2,INTRODUÇÃO AO PROJETO,2,MANHA
Sistemas de Informação,2012/2,GEOPROCESSAMENTO I,1,NOITE
Sistemas de Informação,2016/2,SEGURANÇA DE REDES II,4,NOITE
Sistemas de Informação,2016/2,GERÊNCIA DE REDES,4,NOITE
Sistemas de Informação,2017/1,DESENHO E REPRESENTAÇÃO I,2,TARDE
Sistemas de Informação,2016/1,DESENHO E REPRESENTAÇÃO I,1,MANHA
Sistemas de Informação,2016/2,DESENHO E REPRESENTAÇÃO II,1,MANHA
Sistemas de Informação,2012/2,EDUCAÇÃO EM ASTRONOMIA I,2,NOITE
Sistemas de Informação,2014/1,ESPORTE EDUCACIONAL,1,MANHA
Sistemas de Informação,2018/1,ESTÁTICA DAS ESTRUTURAS,2,
Sistemas de Informação,2016/1,ESTUDOS DA FORMA E COMPOSIÇÃO I,1,TARDE
Sistemas de Informação,2016/2,ESTUDOS DA FORMA E COMPOSIÇÃO II,1,TARDE
Sistemas de Informação,2016/1,ESTUDOS SOCIAIS NA ARQUITETURA E URBANISMO,1,NOITE
Sistemas de Informação,2012/2,FÍSICA F I,4,MANHA
Sistemas de Informação,2013/1,FÍSICA F I,4,MANHA
Sistemas de Informação,2016/2,FUNDAMENTOS DE ARQUITETURA,1,MANHA
Sistemas de Informação,2016/1,FUNDAMENTOS DE FENÔMENOS DE TRANSPORTE,4,
Sistemas de Informação,2016/2,FUNDAMENTOS DE URBANISMO,1,TARDE
Sistemas de Informação,2016/1,GEOMETRIA DESCRITIVA,2,TARDE
Sistemas de Informação,2014/1,GINÁSTICA E FORMAÇÃO HUMANA I,2,MANHA
Sistemas de Informação,2016/1,"HISTÓRIA DA ARTE, ARQUITETURA E URBANISMO I",2,TARDE
Sistemas de Informação,2017/1,"HISTÓRIA DA ARTE, ARQUITETURA E URBANISMO III",3,TARDE
Sistemas de Informação,2018/2,"HISTÓRIA DA ARTE, ARQUITETURA E URBANISMO IV",2,MANHA
Sistemas de Informação,2017/2,INFRAESTRUTURA URBANA I,1,TARDE
Sistemas de Informação,2018/2,INSTRUMENTAÇÃO INDUSTRIAL,1,MANHA
Sistemas de Informação,2016/1,INTRODUÇÃO AO ESTUDO DO DIREITO,2,MANHA
Sistemas de Informação,2017/1,MATERIAIS E TÉCNICAS CONSTRUTIVAS I,2,TARDE
Sistemas de Informação,2018/2,MATERIAIS E TÉCNICAS CONSTRUTIVAS II,1,MANHA
Sistemas de Informação,2018/2,MECÂNICA DOS SOLOS E FUNDAÇÕES,2,MANHA
Sistemas de Informação,2014/1,METODOLOGIA DO ENSINO DO ESPORTE I: HANDEBOL,1,MANHA
Sistemas de Informação,2018/1,METODOLOGIA E REDAÇÃO CIENTÍFICA,2,MANHA
Sistemas de Informação,2016/1,MICROCONTROLADORES E APLICAÇÕES,4,TARDE
Sistemas de Informação,2017/1,PAISAGISMO I,2,MANHA
Sistemas de Informação,2018/2,PAISAGISMO II,1,MANHA
Sistemas de Informação,2017/1,PLANEJAMENTO URBANO I,2,MANHA
Sistemas de Informação,2017/2,PLANEJAMENTO URBANO II,1,MANHA
Sistemas de Informação,2014/1,PRÁTICA DE ENSINO EM EDUCAÇÃO FÍSICA I,1,TARDE
Sistemas de Informação,2018/1,PRÉ-DIMENSIONAMENTO DE ESTRUTURAS,1,MANHA
Sistemas de Informação,2017/1,PROJETO I,3,MANHA
Sistemas de Informação,2018/2,PROJETO II,2,MANHA
Sistemas de Informação,2018/1,REPRESENTAÇÃO E CRIAÇÃO DIGITAL I,2,TARDE
Sistemas de Informação,2018/2,REPRESENTAÇÃO E CRIAÇÃO DIGITAL II,1,TARDE
Sistemas de Informação,2018/1,SUSTENTABILIDADE NA ARQUITETURA E URBANISMO,2,MANHA
Sistemas de Informação,2018/1,TOPOGRAFIA,2,TARDE
Sistemas de Informação,2014/1,TRABALHO E EDUCAÇÃO FÍSICA,1,MANHA
Sistemas de Informação,2016/2,APROFUNDAMENTO EM DANÇAS,1,TARDE
Sistemas de Informação,2014/2,INTRODUÇÃO À ECONOMIA,2,TARDE
Sistemas de Informação,2017/2,ESTUDO DE LIBRAS,4,
Sistemas de Informação,2014/1,ADMINISTRAÇÃO DE SISTEMAS DE INFORMAÇÃO,1,MANHA
Sistemas de Informação,2013/2,METODOLOGIA E REDAÇÃO CIENTÍFICA,1,TARDE
Sistemas de Informação,2014/1,TÓPICO ESPECIAL INTERDISCIPLINAR X,2,
Sistemas de Informação,2018/1,CABEAMENTO ESTRUTURADO,1,NOITE
Sistemas de Informação,2019/2,REDES SEM FIO,3,NOITE
Sistemas de Informação,2019/2,SEGURANÇA DE REDES II,4,NOITE
Sistemas de Informação,2018/1,MECÂNICA GERAL,2,
Sistemas de Informação,2015/2,MECÂNICA DOS SÓLIDOS,1,NOITE
Sistemas de Informação,2018/1,ELETRICIDADE,2,NOITE
Sistemas de Informação,2018/1,ESTUDOS DA FORMA E COMPOSIÇÃO I,1,TARDE
Sistemas de Informação,2017/2,"LEGISLAÇÃO, ÉTICA PROFISSIONAL E CIDADANIA",2,TARDE
Sistemas de Informação,2017/2,MECÂNICA DOS SÓLIDOS,2,TARDE
Sistemas de Informação,2018/2,MECÂNICA DOS SÓLIDOS,2,TARDE
Sistemas de Informação,2017/2,PESQUISA OPERACIONAL I,2,TARDE
Sistemas de Informação,2017/2,SEGURANÇA NO TRABALHO,4,
Sistemas de Informação,2017/2,SISTEMAS DE PRODUÇÃO,2,TARDE
Sistemas de Informação,2017/1,BIOSSISTEMÁTICA,3,
